id, username, created_at, lng, lat, text
1253061859516862466, JosephMorgan212, Wed Apr 22 20:43:22 +0000 2020, -83.804475, 27.698682, I Want @TheAJMendez To Come Back To @WWE To Be a Manager 
1253061859663654913, annetteI3ay, Wed Apr 22 20:43:22 +0000 2020, -83.804475, 27.698682, @mommakeish @AfropunkSD Love love love 🖤🤎🖤 
1253061859663654914, sustyqueen, Wed Apr 22 20:43:22 +0000 2020, -77.014398, 38.898603, Thanks sis! 🥰 
1253061859961430018, NaylorFran, Wed Apr 22 20:43:22 +0000 2020, -95.767395, 29.532056, @AngelSa20236712 @seanhannity Again! 
1253061860112416770, XxKyleB, Wed Apr 22 20:43:22 +0000 2020, -93.044991, 44.963825, @DWalBell I think this is close 
1253061860355526656, billmccoshen, Wed Apr 22 20:43:22 +0000 2020, -89.569491, 44.900818, @analieseeicher I’ve gotten pretty good at using my WAHL trimmer! 
1253061860380811264, Popster211, Wed Apr 22 20:43:22 +0000 2020, -90.441960, 38.668105, @MartySteinberg2 @AJPapagno @SportsCenter Marty, are you that fuckin stunad regarding sports?  Make a salad for din… https://t.co/Ichq2cK5BM 
1253061860410011648, creepycgirl, Wed Apr 22 20:43:22 +0000 2020, -112.124676, 33.552863, Hey everyone check this new video out by @PhlegethonMusic great music, I really enjoyed it. https://t.co/YzO46lhfc8 
1253061859957235712, PrabhuPandya, Wed Apr 22 20:43:22 +0000 2020, -97.392888, 32.958359, ♥️👑 https://t.co/2nSAuaXaOj 
1253061861030998018, NanCm22, Wed Apr 22 20:43:23 +0000 2020, -100.076888, 31.168893, ⛏❤️🥎 
1253061861093765120, sjsubaru, Wed Apr 22 20:43:23 +0000 2020, -78.953660, 35.072530, Do you need your car serviced? Need a body shop? Maybe you need parts? #WeAreOpen and taking the necessary #COVID19… https://t.co/WNuEAeD5y2 
1253061861173583872, fhpclinic, Wed Apr 22 20:43:23 +0000 2020, -88.298250, 42.250770, Wellness group for frontline workers offered by #nami #free of charge.  Please pass along to those you know.  It is… https://t.co/am5zrDTlly 
1253061861760798722, anthonyacc, Wed Apr 22 20:43:23 +0000 2020, -121.308000, 44.056400, Newest sticker available in the shop! Which color is your favorite? @ Bend, Oregon https://t.co/Ox4rQshcNr 
1253061862419320837, nolafan76, Wed Apr 22 20:43:23 +0000 2020, -86.142922, 39.779562, @Happyja @NBCNews Have you ever been to NYC? Impossible to social distance. 
1253061862721302528, Josohollywood, Wed Apr 22 20:43:23 +0000 2020, -83.173867, 32.678207, @riana_sb Wow 😍 
1253061862771634177, madeinNYx3, Wed Apr 22 20:43:23 +0000 2020, -75.386460, 39.145024, @_DotYolaa Lmaooo yea that was anything fr Drake is super nice but not better than Hov lol 
1253061862666756096, BaYouBuiLdersLA, Wed Apr 22 20:43:23 +0000 2020, -93.255630, 30.242370, Congratulations to Mr. &amp; Mrs. Wix on your new atlasroofing Signature Select Roofing System. Thank you for giving Ba… https://t.co/OHfSxiRuXg 
1253061863409102849, ByJohnTang, Wed Apr 22 20:43:23 +0000 2020, -83.173867, 32.678207, i’ve come to the conclusion that i don’t want to be in a relationship ever again. i want to be single and alone til… https://t.co/CgjW4PUUS8 
1253061863471898624, NWSShreveport, Wed Apr 22 20:43:23 +0000 2020, -93.085605, 31.487726, Severe Thunderstorm Warning continues for Bellwood LA, Cypress LA, Flora LA until 4:15 PM CDT https://t.co/X3o1FIuFs0 
1253061863803404290, FlatBack_Four, Wed Apr 22 20:43:23 +0000 2020, -82.768905, 37.741568, @Ikells8907 @GroverTMuldoon Which part? 
1253061864071675904, MarianoLozano, Wed Apr 22 20:43:23 +0000 2020, -124.152206, 46.972905, @Laurantines @bancosantander Los mensajes privados como respuesta es un modo de quitarte de enmedio, un callejón si… https://t.co/p1c7xVAaNS 
1253061864432578561, SamanthaStormy, Wed Apr 22 20:43:23 +0000 2020, -101.897173, 33.570526, I hate going back home and then leaving. It’s always such a bitter sweet feeling. 
1253061864415780867, Ron_Christian55, Wed Apr 22 20:43:23 +0000 2020, -83.804475, 27.698682, As @ItchyBacca said it won’t be about a female character. It’ll be about feminist ideology. 
1253061864369672199, spnfangirl15, Wed Apr 22 20:43:23 +0000 2020, -73.153459, 40.881978, Marry me....im willing to share https://t.co/JEkm2nxmVp 
1253061864872980481, WritingDavid, Wed Apr 22 20:43:24 +0000 2020, -87.789901, 41.887130, @as_glam_as_me @survivorcbs https://t.co/09bqbmbYeL 
1253061865539866625, mztanks1, Wed Apr 22 20:43:24 +0000 2020, -81.861620, 41.442740, I'm at Nuevo Acapulco in Fairview Park, OH https://t.co/vEeX9JsMeM 
1253061866273849349, alienjaymusic, Wed Apr 22 20:43:24 +0000 2020, -156.376000, 20.910700, We have a crucial opportunity to realize that we are one planetary race &amp; one human family. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀We must s… https://t.co/Zj8PWaavgE 
1253061866529701893, Zoe_Louise98, Wed Apr 22 20:43:24 +0000 2020, -97.247762, 32.580786, The way yard work excites men I don't understand 
1253061866361720832, DamonnnG, Wed Apr 22 20:43:24 +0000 2020, -118.411907, 34.020789, Honestly he didn’t tell no lie...Listen to what he said and he definitely said Kendrick got more albums, more maste… https://t.co/1yeKmzF7dg 
1253061866504552449, YoMamaCafe, Wed Apr 22 20:43:24 +0000 2020, -97.630104, 26.122545, https://t.co/iPZCqGwmLa 
1253061867309879296, 34sweetnessfan, Wed Apr 22 20:43:24 +0000 2020, -77.604684, 41.117936, @Heidiaca @BigDitka89 @Gobbles78 @79illwill @VinnyCicero @biggpapi13 @adamrank @FulphilO @TreyGetsIt @ditkaofficial… https://t.co/o0wru7Phmh 
1253061867393572864, NerdChronic, Wed Apr 22 20:43:24 +0000 2020, -118.325145, 34.182160, @Dimmmyyy We had to get into this habit at my old job because we would receive about 3000-5000 emails a day from cl… https://t.co/zeSJpDMgs9 
1253061867611795456, NickJGoodsell, Wed Apr 22 20:43:24 +0000 2020, -93.167160, 44.818080, My office. @ Eagan, Minnesota https://t.co/v63RIn5ic8 
1253061868488470531, Tiny_Dakota99, Wed Apr 22 20:43:24 +0000 2020, -100.453089, 31.440523, @_adaptation_xo Oh no 😂😂 
1253061868526211072, dempstermd, Wed Apr 22 20:43:24 +0000 2020, -113.577765, 37.085582, @pudgenet @brianstelter Or y’know, actually disproven. 
1253061868656050177, SherecaS, Wed Apr 22 20:43:24 +0000 2020, -122.506779, 47.157103, He needs to shut up and sit in jail for his crimes 
1253061868698116101, nanosmalls, Wed Apr 22 20:43:24 +0000 2020, -84.273139, 33.248881, Chile 
1253061868823941128, D_Hiciano, Wed Apr 22 20:43:24 +0000 2020, -74.024507, 40.790512, 🤣🤣🤣🤣 
1253061868291346432, witmy_woes, Wed Apr 22 20:43:24 +0000 2020, -80.244984, 36.087169, Ready for the husband &amp; kids shit so somebody can taste the love i put into my food ☺️ https://t.co/QkEOhTCx85 
1253061869432041472, zach30302864, Wed Apr 22 20:43:25 +0000 2020, -82.473503, 35.338732, @3YearLetterman @realDonaldTrump Putin will back up Iran if that happens we are royalty screwed 
1253061869327155200, neil_with_an_a, Wed Apr 22 20:43:25 +0000 2020, -119.782465, 36.786042, What is going on.....This isn’t real life.. can’t be.... 
1253061869880958977, MsMeliss, Wed Apr 22 20:43:25 +0000 2020, -87.732013, 41.833585, @TheJonDean1 @chicagosmayor W/ some money I have prioritized saving since i started earning at 12 years old to be p… https://t.co/0ikk4lzH9K 
1253061870606520321, BigV12, Wed Apr 22 20:43:25 +0000 2020, -79.420865, 38.003376, @pulte Notifications on. I was napping after going to work at 3 am. 
1253061870682062853, DemiShields, Wed Apr 22 20:43:25 +0000 2020, -73.948775, 40.655138, @InThierry @Roberts_Rules I was just cackling at the same thing Terry. The face says “scam today before tomorrow scams you” 
1253061871034302468, Montrizzle_, Wed Apr 22 20:43:25 +0000 2020, -76.507809, 37.090301, @_SlickkkP Fuck what people think😊 
1253061871202193408, Selfish_shay, Wed Apr 22 20:43:25 +0000 2020, -81.705467, 41.495940, Finally picking this paper up from this lady ☺️ 
1253061871252447238, metzkergabriela, Wed Apr 22 20:43:25 +0000 2020, -74.184848, 40.734494, joelma rainhaaa 
1253061871130853382, JoanGolub, Wed Apr 22 20:43:25 +0000 2020, -82.531229, 27.284654, There is no hope while u clowns are in the WH!                                        #JOEMENTUM… https://t.co/Gg5rYxXAy9 
1253061871348768768, QuinnTreanor, Wed Apr 22 20:43:25 +0000 2020, -121.898233, 36.991969, @gawill23 Cry babies need move too🥺 
1253061870937923587, T3MP3STT, Wed Apr 22 20:43:25 +0000 2020, -97.011168, 32.655678, https://t.co/VIQuIoGt98 
1253061871432880129, PinsonLola, Wed Apr 22 20:43:25 +0000 2020, -95.446486, 29.838495, Think what he can accomplish in that time. Especially if government employees are working together with out all the… https://t.co/QONPIEtUKj 
1253061871638319105, Lemon_Lip, Wed Apr 22 20:43:25 +0000 2020, -95.446486, 29.838495, You can’t compete when you don’t compare 
1253061872338771969, Michelena72, Wed Apr 22 20:43:25 +0000 2020, -84.508132, 33.452748, @pulte $michelena72 
1253061872380674050, gab000000000, Wed Apr 22 20:43:25 +0000 2020, -99.454676, 27.532077, @youngmach888 did u realize, that u are a champion! Oh yea :) go Mayio 
1253061872808591363, NY_Finesse, Wed Apr 22 20:43:25 +0000 2020, -81.111916, 34.057336, @AzureeSmithh LMFAOOO. bitch who you was finna say? Text it to me 😂😂😂 
1253061872821186560, RichJimenez73, Wed Apr 22 20:43:25 +0000 2020, -74.054126, 40.292512, @kc_k89 @mike_redcrushed Hit yes but truly meant NO Way Jose! 
1253061872892489729, cmcworker, Wed Apr 22 20:43:25 +0000 2020, -89.569491, 44.900818, And if you we’re Nancy prepared for the virus you were too busy enjoying your time off from the White House and eat… https://t.co/a0RW6LX2l7 
1253061873395814400, gonzalezmartinn, Wed Apr 22 20:43:26 +0000 2020, -110.722327, 27.883699, @gabrielasmind @soygloriatrevi Ay como es tu insta yo también quiero saber :/ 
1253061873337065473, RenayCheyenne, Wed Apr 22 20:43:26 +0000 2020, -81.705467, 41.495940, @brownnnsuggar Ok season it with your seasons and curry fry it out a lil bit then add water to boil it down finish… https://t.co/HnH4IKy2Bh 
1253061873596944384, lildebbievurt, Wed Apr 22 20:43:26 +0000 2020, -117.319094, 34.418775, real bold comin from someone who hasn’t had my pussy.... LMFAOOO 
1253061873634770944, idol1236, Wed Apr 22 20:43:26 +0000 2020, -83.804475, 27.698682, @realDonaldTrump @CNN The CDC director said the coronavirus next wave could be worse than this one. Yes it has ruin… https://t.co/xMsziMmn0h 
1253061873760534528, DavidMa28686452, Wed Apr 22 20:43:26 +0000 2020, -121.548581, 39.122291, @NeilaSchaffer @elyphend @mrsunil58 @aliensky0 @TINAEN5 @tj8mDBW1UHsMRzM @turkuazcayazar @patsemkin @R__iaz… https://t.co/TIduHX3Wz3 
1253061873278255104, Beth_Levy66, Wed Apr 22 20:43:26 +0000 2020, -79.272570, 43.629311, @vickyrobinbaum Then my daughter did this. Rosy really puts up with a lot!😂 https://t.co/Xww1Je6NDl 
1253061874192715782, DavidPylyp, Wed Apr 22 20:43:26 +0000 2020, -79.272570, 43.629311, Six more weeks of lockdown #Toronto 
1253061873802465280, magichourbaby, Wed Apr 22 20:43:26 +0000 2020, -118.402415, 33.861780, I don’t know how to swim but I love being in water. Can’t wait to be able to  go to the beach and be in ocean water… https://t.co/xPkMhdVHYA 
1253061874402328579, thomas9023, Wed Apr 22 20:43:26 +0000 2020, -100.076888, 31.168893, @NoodleSparklez @JOSIE24055239 https://t.co/rrCm26OUEf 
1253061875178274819, KateWieland1, Wed Apr 22 20:43:26 +0000 2020, -94.000000, 46.000000, Happy Earth Day 🌎💚🌲🌻🍃•••#northshorevibes #mn #minnesota #yoga #earthday #happyearthday #northshore… https://t.co/L0zdz5xtJK 
1253061875509723137, CarleeSparks, Wed Apr 22 20:43:26 +0000 2020, -100.453089, 31.440523, @EthanMBrown Sadie looks so happy 🥺 
1253061875635376128, radandsoraina, Wed Apr 22 20:43:26 +0000 2020, -123.358379, 48.426730, I miss my fake ass nails so bad 
1253061874880598018, RichWalkerFish, Wed Apr 22 20:43:26 +0000 2020, -77.014398, 38.898603, My supervisor says I need to grade faster! #CatsOnTwitter #CatsOfTheQuarantine @JulieKelso1 https://t.co/vNEtgX6NI6 
1253061875937316864, tmj_MOP_adm, Wed Apr 22 20:43:26 +0000 2020, -93.927707, 36.928950, Don't be shy. Score a job like "Technical Support Engineer" at Jack Henry &amp; Associates, Inc by asking for referrals… https://t.co/Guxx63Ypup 
1253061875450904576, DwestTheMaster, Wed Apr 22 20:43:26 +0000 2020, -97.114771, 33.202495, ✅ https://t.co/U1xQXaa7kO 
1253061876419825665, Kissmyfineapple, Wed Apr 22 20:43:26 +0000 2020, -90.011008, 29.982601, @dancor09 Lmaooooo I’m sorry‼️ 
1253061876457648130, WiFiWizd0m, Wed Apr 22 20:43:26 +0000 2020, -84.433106, 33.767195, @_xbundle @JohnDav62673208 Don’t argue with a faceless troll account 
1253061876092530688, tmj_DFW_gensci, Wed Apr 22 20:43:26 +0000 2020, -96.729852, 32.948333, See our latest #Richardson, TX #GeneralScience job opportunity and click the link in our bio to apply: Research Ass… https://t.co/IPnHpwda49 
1253061876549730304, heyitsaudraaaa, Wed Apr 22 20:43:26 +0000 2020, -112.124676, 33.552863, @ZeroExe @pulte @mboyer_xo I love you dude 🥰 
1253061876633808905, _SolCalibur, Wed Apr 22 20:43:26 +0000 2020, -82.985772, 39.994684, Wow. Blessings 
1253061876885446658, eserviss, Wed Apr 22 20:43:26 +0000 2020, -86.680738, 32.576227, @AU_Grad2000 Isn’t The Depot selling seafood you can buy? Also, the Asian supermarket has fresh fish. 
1253061876516257792, DossReno, Wed Apr 22 20:43:26 +0000 2020, -77.604684, 41.117936, @Kiwiz akaClax my epic https://t.co/6mzVK17LVx 
1253061877384568833, BillyShepard, Wed Apr 22 20:43:26 +0000 2020, -96.667690, 34.775447, @krystyMhill @jackie_trenary @tedkardas @pulte @Spotify Its all good, I'm thinking about investing.. a lot of share… https://t.co/KdC4bs6w9n 
1253061878181437443, HollywoodSport4, Wed Apr 22 20:43:27 +0000 2020, -71.088712, 42.313670, @TomBrady @RobGronkowski https://t.co/9PaAmiYkNz 
1253061878496014337, StateStreetBrat, Wed Apr 22 20:43:27 +0000 2020, -89.569491, 44.900818, We’ve been busy working on something special for you... Can you guess what’s coming next to State Street Brats?! https://t.co/H9Idl1wOy8 
1253061878634303488, LilK_B, Wed Apr 22 20:43:27 +0000 2020, -115.038337, 36.006256, https://t.co/ELDcrB328E 
1253061879087284230, outuhcontrol, Wed Apr 22 20:43:27 +0000 2020, -98.540651, 29.417501, @_iluvnychthings I use it maybe once for gas then pay it down to a $1-$5 balance 
